"iteration","percent_cells","match","features_used","ndims_used"
1,90,NA,2537,5
2,79,NA,2537,5
3,79,NA,2537,5
4,75,NA,2537,5
5,73,NA,2537,5
6,71,NA,2537,5
7,84,NA,2537,5
8,83,NA,2537,5
9,87,NA,2537,5
10,81,NA,2537,5
11,86,54.1528239202658,2537,5
12,74,NA,2537,5
13,78,NA,2537,5
14,72,NA,2537,5
15,86,NA,2537,5
16,86,NA,2537,5
17,71,NA,2537,5
18,86,NA,2537,5
19,84,NA,2537,5
20,70,NA,2537,5
21,77,NA,2537,5
22,75,NA,2537,5
23,75,NA,2537,5
24,74,NA,2537,5
25,81,NA,2537,5
26,76,NA,2537,5
27,79,NA,2537,5
28,89,NA,2537,5
29,72,NA,2537,5
30,87,NA,2537,5
31,86,NA,2537,5
32,79,NA,2537,5
33,78,NA,2537,5
34,70,NA,2537,5
35,77,NA,2537,5
36,71,NA,2537,5
37,89,NA,2537,5
38,74,NA,2537,5
39,73,NA,2537,5
40,86,NA,2537,5
41,74,NA,2537,5
42,70,NA,2537,5
43,84,NA,2537,5
44,80,NA,2537,5
45,88,NA,2537,5
46,85,NA,2537,5
47,84,NA,2537,5
48,73,NA,2537,5
49,73,NA,2537,5
50,78,NA,2537,5
51,85,70.2341137123746,2537,5
52,88,NA,2537,5
53,75,NA,2537,5
54,90,NA,2537,5
55,81,NA,2537,5
56,87,NA,2537,5
57,79,NA,2537,5
58,78,NA,2537,5
59,74,NA,2537,5
60,87,72.6072607260726,2537,5
61,89,NA,2537,5
62,76,NA,2537,5
63,80,NA,2537,5
64,73,NA,2537,5
65,84,NA,2537,5
66,76,NA,2537,5
67,80,NA,2537,5
68,76,NA,2537,5
69,72,NA,2537,5
70,82,NA,2537,5
71,83,NA,2537,5
72,73,NA,2537,5
73,87,NA,2537,5
74,89,NA,2537,5
75,83,NA,2537,5
76,90,NA,2537,5
77,76,NA,2537,5
78,86,NA,2537,5
79,79,73.0909090909091,2537,5
80,72,NA,2537,5
81,77,NA,2537,5
82,74,NA,2537,5
83,77,NA,2537,5
84,79,NA,2537,5
85,81,NA,2537,5
86,77,NA,2537,5
87,80,NA,2537,5
88,83,NA,2537,5
89,78,NA,2537,5
90,86,NA,2537,5
91,81,NA,2537,5
92,76,NA,2537,5
93,71,NA,2537,5
94,82,NA,2537,5
95,87,NA,2537,5
96,76,NA,2537,5
97,76,NA,2537,5
98,90,NA,2537,5
99,77,NA,2537,5
100,83,NA,2537,5
